Shot	RPM	Angle
6	0	4

7	0	4

8	0	4

9	0	4

10	0	4

11	0	4

12	0	4

13	0	4

14	0	4

15	0	4

16	0	4

17	0	4

18	0	4

19	0	4

20	0	4

21	0	4

22	0	4

23	0	4

24	0	4

25	0	4

26	0	4

27	0	4

28	0	4

1	0	4

2	3011.74580865375	4

0	1000	2

0	1000	2

1	2000	4

2	3000	6

3	4000	8

4	5000	10

5	6000	12

0	0	3

1	0	3

1	0	3

2	0	3

3	0	3

4	0	3

5	0	4

6	0	4

7	0	4

8	0	3

9	0	3

10	0	3

11	0	4

12	0	3

13	0	3

14	0	3

15	0	3

16	0	3

20	1914.73066122032	3

21	3011.74580865375	392

22	3010.83902047371	392

23	2990.13256254361	343

24	2993.11583358276	343

25	2816.10813855252	343

26	2997.90146897172	343

27	2755.58004960044	343

28	3093.42132398433	343

29	3008.7253033798	343

30	3006.91590658515	343

31	2996.10506341756	343

32	2997.002997003	343

33	2995.20766773163	343

34	2884.61538461538	343

35	3010.83902047371	343

36	2807.41156653565	343

37	2995.20766773163	343

38	2998.20107935239	343

39	2997.90146897172	343

40	3008.7253033798	343

41	3005.71085061617	343

42	2999.10026991902	343

43	2995.20766773163	343

44	3005.71085061617	343

45	2759.63572808389	343

46	2995.20766773163	343

47	3011.74580865375	343

48	3000	343

49	2990.13256254361	343

50	3008.7253033798	343

51	2995.20766773163	343

52	2985.37167877401	343

53	2979.73778307509	343

4	0	343

0	0	224

1	0	170

1	0	5

